width,height
19,46
46,67
44,64
58,87
37,43
33,61
29,51
43,48
28,65
49,52
57,64
66,37
51,63
48,36
52,36
39,60
44,53
33,76
43,55
41,61
24,48
28,43
31,72
38,62
50,55
53,46
58,64
58,75
32,69
43,33
25,55
66,32
29,72
41,40
53,44
37,50
35,36
43,54
35,72
50,55
60,41
50,58
27,54
24,42
57,62
30,78
32,73
47,48
68,57
35,60
23,44
56,57
34,67
34,58
59,66
46,51
22,75
36,56
61,37
60,64
46,37
40,82
54,61
58,41
24,60
60,60
62,49
54,33
37,57
41,47
39,62
63,53
64,55
41,40
59,58
24,65
15,47
49,50
18,59
40,57
29,67
41,55
45,60
38,41
22,52
57,50
24,41
19,43
41,55
39,72
44,71
30,42
46,60
35,60
57,52
49,45
35,60
42,52
35,44
45,81
46,55
29,52
44,56
27,69
42,69
42,75
34,38
50,64
52,73
42,45
56,78
48,44
40,40
33,50
38,44
56,46
13,37
40,68
41,75
45,70
41,70
38,73
30,52
31,63
36,46
51,49
23,33
63,38
50,81
25,58
48,60
51,67
54,42
35,62
43,62
55,44
23,46
26,56
42,56
15,38
29,57
34,59
33,40
26,55
34,34
29,61
69,68
28,67
47,74
23,45
39,61
42,57
29,43
29,45
33,49
25,64
52,50
62,68
42,52
43,50
31,49
61,38
47,48
33,54
52,73
51,70
60,58
39,71
51,31
29,44
56,61
41,62
49,77
38,48
53,56
44,54
40,73
28,63
43,76
29,45
38,42
49,76
48,47
52,44
34,71
20,74
25,45
52,51
47,47
38,51
29,40
42,61
33,69
41,67
47,60
33,56
29,53
34,58
46,63
59,61
